covariate,Coefficient,Hazard Ratio,HR 95% CI Lower,HR 95% CI Upper,p-value,Interpretation
zone_Palace_Lamp_Side,-1.3033281489282187,0.27162627432551756,0.22551729561031023,0.3271626360376956,6.575049467623426e-43,Strong protective
zone_Before_A_Main,-1.1599455218231598,0.31350325950340624,0.22451991005738742,0.43775313153358447,9.76709270411466e-12,Strong protective
zone_Underpass_Close,-1.1063111708233493,0.33077689277614725,0.18138780346872851,0.603201266580781,0.0003073435664146738,Strong protective
zone_Underpass_Stairs_First,1.0643451226789231,2.898939912294263,1.21590143087765,6.911623262937264,0.01635307861358978,Strong risk increase
zone_A_Ramp_Room,-1.0055578381859887,0.36584049807187125,0.2834955487593233,0.47210360309078137,1.085474486664627e-14,Strong protective
active_in_molly,0.9799245290237614,2.6642551604036986,1.488625848298134,4.768327493340782,0.0009681381447194695,Strong risk increase
zone_Palace_Entry,-0.927761676207384,0.3954378384423087,0.3434467483971243,0.4552993580568565,4.5110353409166526e-38,Strong protective
zone_Top_Cat_Walk,-0.9182233553552375,0.3992276971332758,0.172242322848096,0.9253402504267286,0.032283942712393245,Strong protective
zone_Stairs_Platform,0.8979346219633565,2.4545283433732563,1.2926557070451943,4.66072238383892,0.006058939842070134,Strong risk increase
zone_Palace_Stairs,-0.8576481685353687,0.4241584594138292,0.3675228470800653,0.4895216722489072,9.096915216404486e-32,Strong protective
