covariate,Hazard Ratio,95% CI Lower,95% CI Upper,p-value
zone_Outside_Market_Window,3.8476261692862685,1.7039524364996677,8.688169236101452,0.0011852132596382283
zone_Empty_B_Alt,2.681527009099637,1.535274663726697,4.68358351141974,0.0005269507676649943
zone_Outer_Market_Exit,2.496355529500792,1.7857984962486158,3.489638356600789,8.656023910161144e-08
zone_Backsite,2.1357193237809615,1.5597777301491431,2.9243250123434343,2.2180173050426813e-06
zone_Electrical_Pole,2.06359715832908,0.7055786359818944,6.035377227568337,0.18581373274760277
zone_Empty_B,1.9371611057277425,1.0587866710421197,3.544239129730268,0.031929037046070086
zone_Market_Exit,1.8982523683101151,1.3916816307871889,2.5892143533983125,5.192553155564158e-05
zone_Bottom_Connector,1.803322283485863,1.0089612871323954,3.223088238954351,0.04658270783335384
zone_Open_Arches,1.800250019197372,1.154018654100123,2.8083602635932405,0.009559784838606719
zone_Arches,1.709441735690694,1.300214893235109,2.247467755464952,0.00012285037380729486
zone_Get_Right,1.5751932235815171,0.9497926706099699,2.6123950714671755,0.07834117360771067
zone_Mid_Window,1.5102007356325247,0.7592771087998521,3.003786411406511,0.23998649810035805
zone_Heaven,1.367778199310997,0.4362886560711216,4.288026233268513,0.5911228498135104
zone_B_Apps_Second_Section,1.2916524245302707,0.8124423045191584,2.0535193410224304,0.27930239049478045
zone_Arches_B,1.288224124049995,0.7065571102212993,2.3487434628810138,0.4085389054958407
zone_A_Triple,1.237147787436799,0.5467151591139767,2.7995101698665144,0.6095258476335885
zone_Market_Cubby,1.020488372989777,0.43072477640571083,2.417777143208506,0.9632432186784173
zone_B_Apps_First_Section,1.0186800893429533,0.6069773192608425,1.7096341024528825,0.9441467302740771
zone_Under_Balcony,0.9880059800349682,0.383151446875895,2.5477022846818076,0.9800814872071054
zone_B_Short,0.9467249573144465,0.7363011038141994,1.2172848039464743,0.6694757478569338
zone_Connector_Box_Cubby,0.9373315388841107,0.4320304517482352,2.0336307550349524,0.8699134056669743
zone_Cat_Plant,0.8468297931081105,0.39548632344405044,1.8132629524342487,0.6686676061185493
zone_Market,0.8406581020563731,0.6487325414495003,1.0893642593818242,0.18930206522113546
zone_Underpass_Stairs_First,0.8210429545795276,0.2945289954058467,2.2887781637111386,0.7061984174312033
zone_Window_Room,0.7787396367838373,0.4818864540598653,1.2584612345689317,0.3071583994978338
zone_B_Pillar_1_Alt,0.7763351060773771,0.2541841459955356,2.3711006623472017,0.6567390166623315
zone_B_Default,0.7634663774676981,0.3288446310640806,1.7725115585361835,0.5299937839096358
zone_Market_Window,0.7601550981752873,0.5872894516783963,0.9839028636228722,0.03722910313684539
zone_Apps_Entrance,0.7510857235994705,0.41873341873146075,1.3472289025890334,0.3369713637665394
zone_Market_Counter,0.6934820274278748,0.5038235950059107,0.9545351331944542,0.024742025701358823
zone_CT_Pots,0.6073058559812988,0.24151968216540506,1.527082179814194,0.2891090154482555
zone_Outside_Apps,0.6055244281123932,0.2796083999234157,1.3113333974990322,0.20320961445685193
zone_Under_Mid_Ramp,0.5352339453292375,0.2377892304908081,1.2047449568737938,0.1310478022257703
zone_Top_Cat_Walk,0.5323777231190219,0.2662987910037207,1.0643159099788548,0.07448765153404924
zone_Cat,0.5103857994720254,0.2431270072958148,1.0714303902311995,0.07546710287311108
zone_CT_Bottom_Ramp,0.4842350788008531,0.19769334901066668,1.1860976239955179,0.11260957557525768
zone_Market_Door,0.4762408085344701,0.18075008152465125,1.2548005832165192,0.13341376076682704
zone_Jungle_Cubby,0.4096905135956143,0.1872384905957298,0.8964306238327803,0.025506942133086966
zone_Connector_Jungle_Cubby,0.39994472828681216,0.1739098629804799,0.9197625881768757,0.031020513122800086
zone_Kitchen,0.3970239899150555,0.18401505774199545,0.8566040763309589,0.018549447905931753
zone_A_Sandwich,0.36994163897565974,0.1391553800711193,0.9834820340978037,0.04622294828971362
zone_CT,0.36784232887644885,0.1576741947652672,0.8581491671144116,0.020673043325244306
zone_Under_Window,0.3183863332305103,0.254150823063284,0.39885708795335384,2.4065450601737135e-23
zone_Blue_Door,0.29057573234022427,0.23174375949679019,0.3643431711317651,9.420710294952592e-27
