covariate,Coefficient,Hazard Ratio,HR 95% CI Lower,HR 95% CI Upper,p-value,Interpretation
zone_Get_Right,-1.8337256094021261,0.1598170413810026,0.09130389831506254,0.27974146982904324,1.364537991166113e-10,Strong protective
zone_Market_Exit,-1.752110010726744,0.17340766512722525,0.13023748844905458,0.23088757839981347,3.7620674779413045e-33,Strong protective
weapon_Shotgun,1.553318429438519,4.727130833955391,2.634960024065139,8.480495232279615,1.89780694490562e-07,Strong risk increase
zone_Empty_B_Alt,-1.3476072073392695,0.25986131156565556,0.2054199398737753,0.32873099510260145,2.7441011240319396e-29,Strong protective
zone_Market_Cubby,-1.3226279663160119,0.26643420102878546,0.19531750433915818,0.36344506713838554,6.897188661571914e-17,Strong protective
zone_Arches,-1.2150298636339631,0.2967011535870923,0.2369464335036256,0.3715252145315129,3.345073350660872e-26,Strong protective
zone_Outer_Market_Exit,-0.955042469358638,0.3847958021750309,0.15853068529862666,0.934000941789963,0.03478310197224112,Strong protective
zone_Market,-0.9476201703187153,0.3876624972615429,0.16623386858325834,0.9040408736429473,0.028273211527613418,Strong protective
zone_B_Apps_Balcony_Corner,-0.8984857837050763,0.4071857604815716,0.3003371003415373,0.5520471608416381,7.215302945980966e-09,Strong protective
zone_Market_Window,-0.8502151082040132,0.42732300137821116,0.22971148626362867,0.7949317227320355,0.0072610823924859486,Strong protective
