covariate,Hazard Ratio,95% CI Lower,95% CI Upper,p-value
zone_Cat,1.8740117855329206,0.9313092584077675,3.770949489238959,0.07832412724980563
active_in_molly,1.4914168532246517,0.6180676092244878,3.598836432916237,0.3737933532663812
zone_Under_Apps_Window,1.4057940343348574,0.9588334916895523,2.0611053786712525,0.08104803839144657
zone_Window_Room,1.3953471651777258,0.8602687748363144,2.2632388485098454,0.17700515277937323
zone_Market_Cubby,1.3920097447598565,0.7338268691476486,2.640529000739724,0.3112828696696701
zone_B_Apps_First_Section_x_advantage,1.371923908683249,1.0327825223046772,1.8224313159527605,0.029064579597298433
zone_Outer_Market_Exit,1.3697102577197706,1.0546267759058885,1.7789290324923233,0.018337186930109578
zone_Market,1.3455825375261723,0.9479149595480755,1.9100789021818838,0.09677486597155435
zone_Open_Site_Alt,1.3290273024169412,0.8866952963471977,1.992018653810505,0.1683343511471247
zone_B_Pillar_3,1.2907923864447415,1.050807732988117,1.5855850053232836,0.015008117930444664
zone_Market_Counter,1.2238768406629599,0.8350849348100567,1.7936792518617823,0.3002599181797182
weapon_Pistol,1.2086935098799667,1.1352528173579735,1.2868851576391045,3.0972989391516856e-09
total_utility,1.2071689301335118,1.1738539471323037,1.2414294209596772,1.0564472709849582e-39
zone_Top_Cat_Walk,1.176785081101566,0.6985296076356787,1.9824830786921779,0.5407179153460934
zone_Open_Arches,1.1644481724779416,0.9759021825194807,1.3894215738780267,0.0911609761473111
zone_Outside_Market_Window,1.160976560890145,0.7687684273834237,1.7532803467539637,0.4779057096092528
zone_Market_Window,1.1516547370821744,0.8387402274116037,1.5813103868129352,0.38273467620234813
zone_Dark_Spot,1.140552044054787,0.9503831422526163,1.3687731898466042,0.15761562659997316
zone_B_Short,1.116499116448132,0.901935318803727,1.3821060679637598,0.3115095641504401
zone_Open_Site,1.0981014653501946,0.8046897236569459,1.498499101895218,0.5551930817492761
weapon_Rifle,1.0768452822140107,1.0219472056217789,1.1346924336673974,0.005551717456737747
weapon_SMG,1.0605976150175918,0.8746009392599743,1.286149203009989,0.5498287488579632
zone_Under_Window,1.0587366952836543,0.6690206509695364,1.6754690431688846,0.8074542184575395
zone_Backsite,1.0555108782607805,0.8846318723887482,1.259397551569627,0.5488017455168628
zone_Jail_Alt,1.053385503434702,0.8120539239470528,1.3664376048489235,0.6952321469579279
zone_B_Pillar_1_Alt,1.0487937027854344,0.8919093205583374,1.2332736138622244,0.5644323317306656
active_in_smoke,1.0434957956087556,0.8067983463272201,1.3496352346408034,0.7456535499385459
num_teammates_pistol,1.04204504145229,1.0122542320355647,1.0727125993158149,0.005386231940530865
teammate_avg_damage_taken,1.041057800989792,1.0109331443912968,1.072080138053323,0.007236237902614348
zone_B_Apps_Balcony_Corner,1.036572678922355,0.8637344182005967,1.2439968768718512,0.6995319677161314
zone_Cat_Plant,1.031985714400832,0.8534480358467716,1.247872711629985,0.7452862531529869
zone_Arches_B,1.029582518191134,0.8194744619448127,1.293560947889777,0.8023222369988405
has_crossfire_support,1.0195594803129149,0.9719665259596338,1.0694828537120957,0.4270863827043152
num_teammates_in_molly,1.0182461224039963,0.985369391772115,1.0522197811788325,0.28023143049107746
zone_Get_Right_Corner,1.0165554565020725,0.8099852881591499,1.2758071180437198,0.8873378906304703
num_teammates_flashed,1.013001034475018,0.9765273073766838,1.0508370714221342,0.4899340984348919
zone_Under_Apps_Window_Alt,1.0057068798186728,0.7651756079710649,1.3218486287044036,0.9674518750307591
zone_Electrical_Pole,1.0054867455473127,0.6826760805367939,1.4809418760891195,0.9779038785402566
zone_Bottom_Connector,0.9989397714229367,0.5636008726044536,1.770544928930303,0.9971016105514651
teammate_avg_utility,0.9970359317754972,0.9657125464096354,1.0293753073285279,0.8553726144137299
num_teammates_in_smoke,0.9952035129759889,0.9655530565670383,1.025764483374077,0.7553735772535974
zone_B_Pillar_2_Alt,0.9903767790900317,0.8666422708218027,1.131777432954716,0.8870722918897205
zone_B_Pillar_1_x_advantage,0.9902669431885581,0.8054874801228151,1.2174349607798887,0.9260463386734596
zone_Market_Exit,0.9883761119936254,0.7697660959525524,1.2690703629272988,0.9269586718740364
teammate_avg_health_norm,0.9790839656915644,0.9551644318372994,1.0036025001793694,0.09393274147823721
teammate_avg_armor_norm,0.9789735748534673,0.9549270476692331,1.0036256304610855,0.09398382296390362
zone_Get_Right,0.9767495862843253,0.8544191357688348,1.1165945545544504,0.7304080251943292
num_teammates_smg,0.9754261711474633,0.9450482741940018,1.0067805437461528,0.12323520279732879
num_teammates_awp,0.9747443578702657,0.9466894372485758,1.0036306795197063,0.08602647572204336
teammate_avg_damage_dealt,0.9737307360915874,0.9434166864033795,1.0050188427598585,0.09900111128527346
zone_Balcony,0.9700868737436343,0.7992736152769677,1.1774047392814222,0.75859596486343
teammate_helmet_rate,0.9598930017812397,0.9374767021668093,0.9828453045701944,0.0006858046030482584
num_teammates_total,0.9588443539799851,0.9378336296625763,0.9803257913560641,0.00020103138223979267
num_teammates_rifle,0.9551242697057558,0.9335059206215328,0.9772432615891332,8.470823768588661e-05
flashed,0.9516782927922864,0.8171380554863095,1.1083703260314193,0.5241990010163853
armor_norm,0.9500131275291077,0.9219971637561826,0.9788803891768855,0.0007861579813570865
zone_Van_Tucked,0.9461907503739551,0.7337652724045934,1.220113529166284,0.6698352732292836
zone_Empty_B,0.94507569433816,0.6837599359168512,1.306259728176541,0.7322862964659551
zone_Empty_B_Alt,0.9440133511957417,0.7079359065447146,1.2588162275669617,0.6947736061717367
zone_Bench_Corner_Alt,0.9401794034695542,0.7261503343484896,1.217292437800012,0.6397603839618343
zone_B_Default,0.9269884307431823,0.843424792654272,1.0188312677262574,0.11574031134628107
zone_B_Ladder_Room_x_advantage,0.9257308551966249,0.7791851941847767,1.0998381676896314,0.3801204458357339
zone_B_Pillar_2_x_has_support,0.9245617054335149,0.8052335433584167,1.0615731972477505,0.2659319436864032
zone_B_Pillar_2,0.9232288501261304,0.8262201104459235,1.0316276485272067,0.15847106169859385
zone_Jail,0.9219454651665439,0.7065046791117765,1.203082535574656,0.5495309168272023
zone_B_Pillar_1,0.9215668605431241,0.754269127273992,1.125971417550546,0.42420587365776197
zone_Under_Balcony_B,0.9213583192052224,0.8017213585968743,1.058848118820695,0.24842386366865093
zone_Arches_B_x_advantage,0.9041515640339057,0.7486045972370888,1.0920184751230595,0.2955308093102392
zone_Outside_Apps,0.9040735556470673,0.6344644081253497,1.288250347147683,0.576752955875323
zone_Get_Right_Corner_Alt,0.9038969036702664,0.7859151567196152,1.0395900950364036,0.1568094480478621
zone_Under_Mid_Ramp,0.9018773296923047,0.5567120136223447,1.4610475396794553,0.6747914239769879
zone_B_Pillar_2_x_advantage,0.9014257488166054,0.7906839775654377,1.0276778127356563,0.12072562108977442
zone_Bench_B,0.8957984840525361,0.7482252802497761,1.0724776951708217,0.2308728664821564
zone_Top_Underpass_Stairs,0.8929995304964872,0.6933130341701478,1.1501992926203126,0.3808408240909362
zone_B_Pillar_2_Alt_x_has_support,0.8868633873174749,0.7891815101336793,0.9966359546753648,0.04374138551215114
zone_Back_Alley,0.8697241804623971,0.5858000622577377,1.2912599346023659,0.48878895420136503
zone_Arches,0.8644035685930674,0.7469422180243418,1.0003364535649795,0.050530019700657035
zone_B_Default_x_has_support,0.8534992244439691,0.7570136117837849,0.9622824672993023,0.009650255313969503
zone_Mid_Window,0.8424733758415961,0.6013101491657782,1.180358239398779,0.3191327987376146
zone_Kitchen,0.8412855808055429,0.6764378843145877,1.0463066083125594,0.12038546371855051
zone_B_Pillar_1_Alt_x_advantage,0.8361548749856098,0.7022922357973485,0.9955328271120844,0.04440352271516532
