covariate,Coefficient,Hazard Ratio,HR 95% CI Lower,HR 95% CI Upper,p-value,Interpretation
zone_Cat,0.6280814727681309,1.8740117855329206,0.9313092584077675,3.770949489238959,0.07832412724980563,Strong risk increase
zone_Bench_B_Alt,-0.42175254802378936,0.6558963221551252,0.5401635034563196,0.7964254946213853,2.062134345469231e-05,Strong protective
active_in_molly,0.3997265763350331,1.4914168532246517,0.6180676092244878,3.598836432916237,0.3737933532663812,Moderate risk increase
zone_B_Apps_First_Section,-0.39093766163664456,0.6764223217854809,0.5641236448890911,0.8110760141947538,2.4366217306614923e-05,Moderate protective
zone_Under_Apps_Window,0.34060229214194093,1.4057940343348574,0.9588334916895523,2.0611053786712525,0.08104803839144657,Moderate risk increase
zone_Window_Room,0.33314324823852376,1.3953471651777258,0.8602687748363144,2.2632388485098454,0.17700515277937323,Moderate risk increase
zone_Market_Cubby,0.33074856243359807,1.3920097447598565,0.7338268691476486,2.640529000739724,0.3112828696696701,Moderate risk increase
zone_Bench_Corner,-0.3277519134673284,0.7205417542390236,0.47570766461648656,1.0913854415619106,0.12182388693647793,Moderate protective
zone_B_Apps_Second_Section_x_advantage,-0.31948385707248783,0.72652393050447,0.6058548734037262,0.8712268313205871,0.0005657524075640218,Moderate protective
zone_B_Apps_First_Section_x_advantage,0.31621406762231846,1.371923908683249,1.0327825223046772,1.8224313159527605,0.029064579597298433,Moderate risk increase
